abate	누그러지다, 약해지다, 감소하다
abolish	폐지하다
access	이용권한, 접근; 통로
accessible	출입할 수 있는; 이용할 수 있는
accidentally	우연히, 뜻하지 않게
accomplish	성취하다
accordance	일치,조화
according to	~에 따라
accuse	비난하다, 고소하다
accustomed	~에 익숙한
acquaint	~에게 ~을 숙지시키다, 잘 알게 하다
adhere	고수하다, 지키다
adjust	적응하다
admission	입장
adopt	채택하다
advantage	이점, 강점
adversity	역격, 불운
advertisement	광고
advisable	바람직한, 합당한
advise	조언해 주다, 충고하다
advocate	옹호자
affect	~에 영향을 미치다, 불리하게 작용하다
affiliate	계열사, 지부
affordable	알맞은, 감당할 수 있는
aggravate	악화시키다
aggressively	적극적으로
agree	동의하다
ailing	병든, 괴로워하는
aim	~을 겨누다; 목표, 목적
alter	고치다, 바꾸다
alumni	동창생들
analysis	분석
announcement	공고, 발표
anonymous	익명의, 이름을 모르는
apparel	의복, 의류
apparently	보기에 ~ 한듯한, 외관상으로는
appear	나타나다, 출현하다
applicant	지원자, 신청자
apply	적용하다;지원하다
apprehensive	걱정하는, 염려하는
approval	승인,인가
aptitude	재능, 소질
area	지역
aspect	관점, 국면
aspiration	열망, 포부
assert	단언하다, 주장하다
assign	할당하다, 배정하다
assist	돕다, 조력하다.
associate	관련시키다
assume	사실이라고 생각하다; 떠 맡다
at all times	항상, 언제나
attendance	출석
attire	복장, 옷차림새
attorney	변호사
attract	끌다, 유인하다
auction	경매
authentic	진짜의, 진품의
authorize	~을 인가하다
await	기다리다
aware	알고 있는, 인식하고 있는
beneficial	유익한, 이로운
benefit	혜택, 이익
bilingual	2개 국어를 구사하는
boost	부양하다, 상승시키다
brisk	호황의, 활발한
broad	폭넓은
candidate	지원자, 후보자
care for	~을 돌보다
carefully	주의깊에, 신중히
cater	요구를 들어주다
celebrity	유명인사, 명사
censorship	검열
certification	증명서, 증명
charge	요금, 청구금액; 책임, 의무
check	검사하다, 조사하다
circumscribe	~을 제한하다
claim	주장
closely	면밀히, 엄밀히
code	규범, 관례; 암호
collapse	붕괴
colleague	동료
collection	수집물, 소장품; 수금,징수
combined	합동의, 결합된
come in + 서수	~위로 입상하다
commensurate	비례한, 액수가 상응하는
commerce	통상, 교역
comparison	비교
competition	경쟁
compliance	준수
comply	따르다, 준수하다
concentrate	집중하다
concered	염려하는, 걱정하는; 관련된
concern	우려, 걱정
condense	간추리다, 요약하다
conduct	수행하다
confidence	확신, 자신, 신임
confidential	기밀의, 내밀한
confront	~에 직면하다
conglomerate	거대복합기억
consecutive	연속적인
consequence	결과
consistently	항상, 일관되게
consolidate	강화하다
consultant	고문, 컨설턴트
consumer	소비자
contend	대처하다, 싸우다
contestant	경기자, 경쟁자
contingency	불의의 사태, 뜻밖의 일
contrary	반대로
contributor	기고가, 공헌자
convey	전달하다
coordinate	조정하다
corporation	주식회사, 법인
count on	~에 의지하다
creative	창조적인, 독창적인
creditable	훌륭한, 칭찬할만한
current	현재의
custody	강금, 구류
customer	고객
defy	저항하다
degree	학위
delegate	위임하다, 대표
deliberate	고의적인
delivery	배달
demand	수요
demanding	요구가 많은
demonstrate	증명하다; 설명하다
depression	불황
description	설명서, 해설
deteriorate	악화되다, 나빠지다
dilute	희석하다
direct	~에게 길을 가리키다
directly	곧바로
disturbing	방해하는
diversify	다양화하다
divide	나누다
division	부서
do one's utmost	전력을 다하다
donation	기증, 기부
dramatically	극적으로
draw on	~을 이용하다, ~에 의지하다
duplicate	사본
dwindle	줄어들다, 감소되다
economical	경제적인, 절약되는
edition	판
effect	효과, 영향, 효력
effective	효과적인;유효한
efficiently	효율적으로
effort	노력
electronically	온라인 상으로, 컴퓨터 통신망으로
eligible	자격이 있는, 적격의
embrace	받아들이다, 포용하다
eminent	저명한, 탁월한
employment	고용
endeavor	노력하다, 애쓰다
endorse	보증 선전하다, 지지하다
enforce	시행하다, 집행하다
engage	종사하다, 관여하다
enlightening	계몽적인, 가르침을 주는
entail	~을 수반하다, ~을 유발하다
enthusiastically	열광적으로
entitle	~에게 ~할 자격을 주다
equivalent	~에 상당하는, 맞먹는
especially	특히
evacuate	대피하다
exactly	정확히
examine	조사하다
exception	예외
exclusively	독점적으로, 오로지
execute	수행하다, 실행하다
exhibition	전시회
expand	넓히다, 확대하다
expectation	예상, 기대
experiment	실험하다
expertise	전문적 기술
exquisite	정교한, 우아한
extended	연장한, 장기간에 걸친
extension	연장, 연기; 내선
extremely	극도로
face	직면하다
failrly	상당히, 꽤
failure	고장, 파손
fall	하락하다
fascinating	매혹적인, 황홀한
favorably	호의적으로, 순조롭게
feasible	실행 가능한
fit	~에 꼭 맞다, ~에 적합하다
flourish	번창하다, 융성하다
focus	집중시키다, 집중하다
follow	~을 따라가다
follow up on	~에 대해 후속 조치하다.
form	유형, 양식
fortify	강화하다, 장려하다
forward	앞으로
foster	촉진하다, 육성하다
fraud	사기
feedback	의견, 반응
friction	불화, 마찰
gap	격차
gauge	측정하다
get along with	~와 사이좋게 지내다
get through	합격하다, ~을 무사히 마치다
habit	버릇, 습관
hardly	거의 ~ 하지 않다
have yet to do	아직~하고있지 않다, 아직 ~ 해야 하다
highly	매우, 몹시
immediately	즉시, 곧
impact	충격, 영향
impede	저해하다, 방해하다
impending	임박한, 절박한
implement	실행하다, 실시하다
implication	영향, 밀접한 관계
improvise	즉흥 연주를 하다, 즉석에서 만들다
in one's absence	~의 부재시에
in writing	서면으로
incentive	혜택, 장려금
increment	증가, 인상
indicate	나타내다, 보여주다
indicator	지표, 지수
industrial	산업의
influence	~에 영향을 주다
inform	~에게 알리다
informative	유익한, 정보를 주는
infringement	침해
installment	할부
instantly	즉각적으로, 즉기
instead of	~ 대신에
instruct	지시하다
insubordinate	반항하는, 복종하지 않는
intention	의지, 의향
interruption	중단, 방해
intervention	간섭
introduce	소개하다, 발표하다
involved	관계된, 연루된
issue	제 ~호, 문제, 쟁점
