absolute	완전한, 완전무결한
accelerate	촉진하다, 가속화하다
acclaim	찬사, 호평
accommodate	~을 수용하다, 숙박시키다
accountant	회계사
accumulate	축적하다
accurate	정확한
accurately	정확하게
acknowledge	인정하다;(편지등의) 수령을 알리다
address	주소; 다루다, 처리하다
adequately	적절히
advance	진보, 전진
affix	(우표등을)
agreeably	쾌적하게, 기분 좋게
agreement	계약, 협정; 합의
ahead	미리, 앞서서
alliance	동맹, 제휴
allocate	할당하다, 배분하다
allow	~하게 하다, ~을 허락하다
allowance	허용치; 참작, 특별한 고려
amend	수정하다
amenity	편의 시설
annotated	(책 등이) 주석이 달린
annulment	무효화, 취소
anticipate	기대하다, 예상하다
antitrust	독점 금지의
apologize	사과하다
appearance	외관, 외양
appropriately	적절하게
approximately	대략
arbitration	중재
argumentative	논쟁적인, 논쟁을 좋아하는
assemble	조립하다
assorted	여러가지 종류의, 다채로운
assure	~에게 보장하다, ~을 안심시키다
at the latest	늦어도
atmosphere	분위기, 환경
attach	붙이다, 접착하다
attain	달성하다
attraction	관광 명소
attribute	~에 돌리다, ~의 덕분으로 돌리다
audit	회계 감사, 심사
automate	자동화하다
available	(사물이)이용 가능한; (사람이)시간이 있는
away	떨어져서
baggage	수화물
barely	가까스로, 거의 ~ 하지 않는
beforehand	이전에, 미리
belongings	소지품, 수요물
bewildering	당혹케 하는
bid	입찰
bilateral	쌍방의
blemish	흠, 결점
board	탑승하다; 이사회
breakthrough	비약적 발전
broaden	넓히다
brochure	소책자, 브로셔
budget	예산
bulk	대량의
by hand	인편으로, 손으로
calculate	계산하다
capable	~을 할 수 있는, ~할 능력이 있는
capacity	수용력, 용량
capitalize on	~을 이용하다, 기회로 삼다
carelessly	부주의하게
carton	(큰)판지 상자
cause	~을 야기하다, ~의 원인이 되다
caution	주의, 조심
challenging	도전적인, 힘든
check in	체크인하다, 숙박수속을 하다
chef	주방장
chemical	화학제품
choice	선택물, 선택사항, 선택
collaborate	공동으로 일하다, 협동하다
coming	다가오는, 앞으로 올
commitment	헌신, 전념
committee	위원회
commodity	상품, 산물
comparable	필적하는, 비교되는
compare	비교하다
compatible	호환성의, 양립할 수 있는
compensate	~에게 보상하다
complaint	불평
complement	보완하다, 보충하다
complete	완료하다, 완성하다; 완료된, 완성된
completely	전적으로, 완전히
complication	복잡한 문제
compliment	칭찬
complimentary	무료의, 우대의
compromise	타협, 화해
concurrently	동시에
confident	자신 있는
confirm	확인하다
confirmation	확인 확증
connoisseur	감정가, 감식가
consignment	위탁판매
contact	~와 연락을 취하다; 교섭하고 있는 사람
contract	계약;계약하다;수축하다
control	관리하다, 통제하다
convenience	편의, 편리
conveniently	편리하게
cooperatively	협력하여, 협조적으로
correspondence	편지, 통신문
corrosion	부식
courier	급송 택배
courteous	예의바른
critical	비판적인
cuisine	(독특한)요리
cultivation	우호 증진, 양성
curtail	~을 줄이다, 삭감하다
customs	세관
damaged	손상된, 손해를 입은
deadlock	교착 상태
deal	처리하다; 거래하다;분배하다
dealer	판매업자, 상인
declare	(세관에서)신고하다
decline	감소, 하락; 거절하다
decrease	감소하다
deduct	공제하다, 빼다
defective	결함이 있는
deficient	부족한, 불충분한
deficit	적자, 부족액
deliver	배달하다;(연설을)하다
demoralize	~의 사기를 꺾다
depart	출발하다
depend	~에 따라 결정되다, ~에 달려 있다
depot	창고, 저장소
destination	목적지
detach	떼다
development	개발, 발전
deverse	다양한
deviate	빗나가다, 일탈하다
device	장치
devise	고안하다, 발명하다
dignitary	고위관리
diminish	감소하다
disappointing	실망스러운, 실망시키는
disclose	공개하다, 드러내다
discontinue	중단하다
discrepancy	불일치, 차이
dispute	논쟁, 분쟁
disruption	중단, 혼란
distribute	배포하다, 배급하다
diversified	다양한, 여러 가지의
do business with	~와 거래하다
dramatic	극적인, 멋진
durable	내구성 있는, 튼튼한
duty	관세, 세금;의무
efficiency	효율, 능륭
efficient	능률적인, 효과적인
elegant	우아한, 고상한
embargo	무역 금지, 통상 정지
embark	착수하다, 나서다
embassy	대사관
emergency	비상사태
enact	제정하다
enclose	~을 동봉하다; ~을 에워싸다
encompass	포함하다, 둘러싸다
encouraging	용기를 북돋워주는
engrave	(문자, 도안 등을)~에 새기다
ensure	보증하다, 확실하게 하다
entirely	완전히
envelope	봉투
enviable	부러워할 만한, 샘나는
envision	상상하다, 계획하다
equipment	장비, 설비
escort	~을 바래다 주다, 에스코트하다
evaluation	평가
evidently	분명히, 명백히
exceed	~을 초과하다
excess	초과, 초과량
exempt	면제된, ~이 없는
exotic	이국적인, 매혹적인
expedite	신속히 처리하다, 진척시키다
expenditure	지출, 비용
expire	만기가 된다
extensive	광범위한, 넒은
fabricate	제작하다
facility	시설
factor	요소, 원인
feature	특징, 특색
figure	합계 수, 총액
fill	~을 채우다
fill out/in	(서류에)적어넣다
financial	재정의, 금전상의
finished	완성된
fiscal	회계의, 재정상의
fix	수리하다
flavor	맛, 풍미
following	~후에
for tree	무료로
forfeit	잃다, 몰수당하다
foundation	토대, 기초
fragile	깨지기 쉬운
freshness	신선함
fund	자금; 자금을 공급하다
further	그 이상의
generate	창출하다, 야기하다
genuine	진짜의, 진품의
grant	주다, 수여하다; 보조금
growth	성장, 발전
guarantee	보장하다;보장
halt	중단, 정지
handle	다루다, 취급하다
hesitate	주저하다
hold	~을 담다, ~을 수용하다
