abbreviate	요약하다, 단축하다
above all	무엇보다도
accept	수락하다, 승낙하다
account	고려; 게좌
accrue	축적하다, 모으다
acquire	매입하다, 취득하다
active	적극적인, 활발한
adjacent	인접한
adjourn	(회의 등을)휴회하다
agenda	의제, 의사일정
aid	원조(돕는것)
allegedly	주장하는 바에 따르면
alleviate	완화하다
alternative	대안;대신의
amount	액수, 양
annex	별관, 중축 건물
announce	발표하다
annual	매년의
antibiotic	항생제
appoint	지명하다
appraisal	평가
appreciation	감사
arise	(문제 등이) 일어나다, 발생하다
arrange	배열하다, 정돈하다
asset	자산
asthma	천식
attend	~에 참석하다, 출석하다
attendee	참석자, 출석자
attention	주의, 경청
authority	권한; 당국, 관헌
average	평균
award	상;(상 등을)수여하다
balance	차감잔액, 잔고
bear	~을 몸에 지니다
belatedly	뒤늦게
bill	~에게 청구서를 보내다; 청구서, 계산서
bond	채권
bounce	(수료 등이) 부도가 나 되돌아오다
brief	~에게 간단히 설명하다, 브리핑하다
cash	현금으로 바꾸다; 현금
cautiously	조심스럽게
chance	가능성
characteristic	특징, 특성
checkup	건강진단
chronic	만성의
chronological	시간순의, 연대순의
cite	언급하다
clear	맑게 갠
clearly	명확히
clout	영향력
coherent	조리있는, 일관성 있는
collateral	담보, 저당물
combination	결합, 연합
commence	시작되다
comment	논평하다
community	지역사회, 공동체
commute	통근하다
complex	(건물 등의) 집합체,복합체, 단지; 복잡한
comprehensive	종합적인, 포괄적인
compulsory	의무적인
conference	회의, 회담
confine	제한하다, ~에 한정시키다
confiscate	압수하다, 몰수하다
conform	(규칙등에)부합하다, 따르다
confusion	혼란
congestion	혼잡, 체증
congratulate	축하하다
conjunction	연합, 공동
conscious	알고있는, 지각하고 있는
consensus	여론, 일치된 의견
consent	동의
conserve	보존하다, 유지하다
consider	고려하다
considerable	(정도나 양이) 상당한
consist	이루어지다, 구성되다
construction	건설, 건축
constructive	건설적인
contaminate	오염시키다
contingent	~에 따라 결정되는, ~여하에 달린
continually	계속해서
contribute	기여하다, 공헌하다
controversy	논란
contstraint	제한
convene	(회원 등이) 모이다, (회의가) 개최되다
convert	전환하다, 변환하다
convince	확신시키다, 납득시키다
coordination	조정, 중재
cordially	진심으로, 성심 성의껏
counterfeit	가짜, 모조품
coverage	(보험의)보상범위;(신문등의)보도, 취재범위
curb	억제하다
currently	현재
customize	사용자의 희망에 맞추다, 주문에 따라 만들다
damage	손해, 피해
deciduous	낙엽성의
dedicated	일신을 바친, 헌신적인
dedication	헌신
defer	연기하다, 미루다
delay	연기하다, ~을 뒤로 미루다
delicate	민감한, 세심한 주의가 필요한
delinquent	연체된, 미불의
demolish	파괴하다
densely	밀집하여, 빽백이
deplete	고갈시키다
deposit	입금하다, 예금하다
depreciation	가치하락, 화폐의 구매력 저하
deprivation	박탈, 상실
describe	말로 설명하다, 묘사하다
designated	지정된
desirable	바람직한, 이상적인
detailed	상세한
deter	단념시키다, 막다
deterrent	방해물, 억지물
detour	우회
devastate	황폐시키다
diagnosis	진단
differ	다르다, 의견을 달리하다
disaster	방출하다
disaster	재난
discharge	처분하다, 처리하다
discriminate	차별하다
discuss	토론하다
disperse	(군중 등이) 흩어지다
dispose	가뭄
distract	(주의를) 흩뜨리다, 빗가게 하다
district	지구, 지역
divert	우회시키다, 다른 곳으로 돌리다
dividend	배당금
document	서류, 문서; 기록하다, 문서를 작성하다
dose	(약의) 1회 복용량
drape	(방 등을 커튼 등으로) 장식하다
drought	자연환경, 생태
due	만기가 된, 지불기익이 된; ~에게 마땅히 지급되어야 할
duration	지속 기간, 지속
early	시간상 이론
earn	(금전 등을)벌다; (평판을)받다, 얻다
easy	쉬운, 용이한
ecology	방출, 배출가스
elaborate	상세하게 설명하다
eliminate	제거하다
emerge	부각하다, 나타나다
emission	멸종 위기에 처한
emphasis	강조, 중점
emphatic	강조하는, 단호한
encouragement	격려
endangered	환경적인
enhance	(질 등을) 높이다, 강화하다
enroll	등록하다
entrepreneur	사업가
entry	(경기 등의)참가자
environmental	멸종 위기에 처한
equip	갖추게 하다, 설비하다
eradicate	근절하다, 뿌리뽑다
establish	설립하다
established	확고한, 정평이 있는
evaluate	평가하다
eventually	결국, 마침내
exceptional	매우 뛰어난, 예외적인
exhibitor	출품자
existing	기존의, 현행의
expansion	확장, 팽창
expect	예상하다, 기대하다
expense	비용, 지출
exploit	착취하다, 부당하게 이용하다
exposure	노출
extinction	멸종
factoin	파벌, 당파
fare	교통요금
fatigue	피로
finally	마침내, 결국
fine	벌금
flood	홍수
forbid	금지하다
force	세력
forecast	(날씨의)예보
foresee	예견하다, 예감하다
foreseeable	예견할 수 있는
fuel	연료
fumes	가스, 연기
function	연회, 행사
furnished	가구가 비치된
give	(연설,수업 등을)하다
give in	굴복하다, 양보하다
go through	(고난, 경험을)겪다
gratuity	팁, 봉사료
habitat	(동.식물의)서식시
health	건강; (사회. 기관의)번영, 안녕
heavily	몹시, 심하게
hold back	자제하다, 억제하다
honor	존경
host	주최하다
ideal	이상적인
identification	신분 증명서
illegible	읽기 어려운
imcompetent	무능한
immune	면역의
in common	공동으로, 공통으로
inclement	(날씨가) 궂은, 혹독한
include	포함하다
increasing	증가하는
independent	독립의, 독자적인
induce	유발하다
inflict	(고통.피해)를 가하다, 입히다
informed	정보에 근거한
inhalation	흡입
inherently	본질적으로
initiate	(사업등을) 시작하다, 착수하다
innate	타고난
insecure	불안한, 확신이 안 가는
install	설치하다, 장치하다
insulation	단열재
insurance	보험
interest	관심; 권리; 이자
interested	관련있는; 관심이 있는
interfere	방해하다, 해치다
investigation	조사
investor	투자가
irrelevant	관계가 없는, 무관한
join	~에 가입하다
judge	판단하다, 평가하다
justify	정당화하다
labor	노동
lay off	해고하다
leave	휴가
lecture	강의, 강연
legacy	유산, 유물
level	(사회적)지위, 수준
liquidate	(회사를)정리하다, 해산하다
loan	대부, 대부금
location	장소, 위치
lower	(양. 가격을)줄이다
lucrative	수익성 있는, 돈벌이가 되는
maintain	보존하다, 유지하다
malfunction	오작동, 기능불량
manipulation	조작, 시장 조작
medicinal	약용의, 치유력이 있는
mention	언급하다
merge	합병하다, 병합하다
meteorological	가상의, 기상학상의
migration	이동, 이주
mining	채굴, 채광
morale	사기
mortgage	주택 융자, 저당 융자금
motivate	동기를 부여하다, 자극하다
nearly	거의, 대략
nomination	지명, 임명
normal	정상, 표준
numerous	많은
nutrition	영양
object	반대하다
objective	목적, 목표
obstruct	(전망등을)차단하다; (도로등을)막다
obtain	얻다, 획득하다
occur	발생하다, 생기다
official	공무원, 관리; 공식적인
on behalf of	~을 대신해서
opponent	반대자, 적수
opportunity	기회
opposite	~의 맞은편에
opposition	반대, 대항
organization	단체
